"","a","about","above","after","again","against","all","am","an","and","any","are","as","at","be","because","been","before","being","below","between","both","but","by","can","could","did","do","does","doing","down","during","each","few","for.","from","further","had","has","have","having","he","her","here","hers","herself","him","himself","his","how","i","if.","in.","into","is","it","its","itself","just","me","more","most","my","myself","no","nor","not","now","of","off","on","once","only","or","other","our","ours","ourselves","out","over","own","same","she","should","so","some","such","t","than","that","the","their","theirs","them","themselves","then","there","these","they","this","those","through","to","too","under","until","up","upon","very","was","we","were","what","when","where","which","while.","who","whom","why","will","with","would","you","your","yourselves","author"
"FEDERALIST..No..1",25,0,0,2,0,2,9,3,11,40,6,12,10,8,34,1,3,1,1,0,0,0,2,14,3,1,0,1,0,0,0,0,0,0,12,11,1,1,6,10,1,0,0,0,0,0,0,0,0,0,14,4,27,2,13,20,10,0,1,0,7,2,8,0,3,0,14,0,106,0,9,0,0,6,3,3,0,0,1,0,4,2,0,1,3,0,1,0,11,28,132,14,0,2,2,0,2,3,6,14,9,0,72,3,3,0,0,6,0,0,8,1,0,1,0,18,0,8,0,0,25,6,2,7,10,0,"HAMILTON"
"FEDERALIST.No..6",47,0,0,1,0,4,5,0,11,74,0,18,19,6,18,0,12,2,1,0,7,1,3,11,2,0,0,0,0,0,0,0,4,2,13,14,0,4,10,27,0,4,2,0,0,0,2,1,3,0,2,5,55,7,8,11,0,0,0,0,8,3,0,0,0,0,16,1,154,0,2,2,1,19,9,4,1,1,3,2,1,5,0,2,4,4,3,0,6,22,166,13,0,3,4,0,8,6,12,11,7,0,58,2,0,0,0,4,1,10,5,5,2,0,0,21,0,7,1,0,6,11,6,0,0,0,"HAMILTON"
"FEDERALIST..No..7",48,1,0,0,0,1,12,0,15,51,7,7,19,11,47,1,8,1,2,0,8,0,3,28,3,2,1,0,1,0,0,0,4,0,14,11,1,7,4,23,0,0,4,1,0,2,0,0,0,1,0,12,43,2,14,17,2,2,1,0,6,1,0,0,3,3,14,0,158,0,13,1,1,10,9,5,1,0,0,1,4,3,4,7,4,7,3,0,5,27,207,18,0,12,0,0,9,11,7,22,8,1,82,2,5,0,1,11,0,7,16,9,3,1,0,24,0,2,0,0,1,12,51,0,0,0,"HAMILTON"
"FEDERALIST.No..8",46,0,1,1,0,5,9,0,13,54,2,14,16,11,35,0,16,1,3,0,2,0,10,11,1,3,1,0,0,1,0,0,2,0,9,9,0,3,8,18,0,0,2,0,0,0,0,0,0,0,1,7,42,5,21,20,10,0,2,0,8,6,0,0,4,5,12,1,135,0,11,0,2,17,6,5,0,1,2,2,0,3,2,5,5,2,5,1,3,18,158,16,0,11,2,0,2,3,13,19,6,0,80,2,5,0,3,3,2,1,5,0,0,0,1,26,0,0,0,1,11,13,27,0,0,0,"HAMILTON"
"FEDERALIST.No..9",47,0,0,0,0,4,8,0,13,45,4,14,19,10,26,1,15,2,1,0,3,0,6,13,1,3,0,0,0,0,0,1,1,1,10,7,0,5,12,24,0,9,0,1,0,0,2,0,4,0,8,7,37,5,16,24,5,2,1,0,6,5,0,0,2,3,13,2,155,0,9,1,3,11,5,0,0,1,0,2,2,2,0,5,5,2,5,0,1,25,170,14,0,5,1,1,3,5,20,15,6,0,71,2,2,0,0,4,3,2,6,11,0,1,0,25,1,3,1,0,7,14,8,0,0,0,"HAMILTON"
"FEDERALIST.No..10",78,0,0,0,2,5,4,0,14,121,4,27,20,8,61,3,9,0,6,0,3,5,11,39,4,2,0,0,4,0,0,0,4,1,18,12,0,1,4,16,1,4,0,1,0,0,1,1,8,0,3,6,63,9,41,47,9,2,0,1,12,15,0,0,5,2,14,0,157,0,18,0,2,22,22,8,0,0,0,6,3,12,0,0,4,3,8,0,13,31,261,21,0,8,3,2,6,8,11,11,4,2,100,8,6,0,1,0,0,2,9,0,5,2,2,39,0,9,0,0,30,11,6,4,0,0,"MADISON"
"FEDERALIST.No..11",69,1,0,1,0,1,13,0,15,70,4,9,21,11,44,1,3,0,3,0,4,0,8,20,5,3,1,2,1,0,0,0,7,1,18,19,1,1,8,15,3,0,13,0,0,2,0,0,1,0,1,6,66,4,9,21,6,1,0,0,9,5,0,0,5,0,20,1,180,0,5,1,5,12,10,35,0,1,0,1,4,3,2,3,4,2,6,0,6,24,188,11,1,6,3,2,8,7,10,24,7,1,83,3,3,0,0,6,1,0,12,2,3,4,0,25,0,5,1,0,17,22,50,0,0,0,"HAMILTON"
"FEDERALIST.No..12",47,1,0,1,0,3,6,0,11,62,7,15,19,13,40,0,8,2,2,0,5,3,8,15,2,2,0,0,0,0,0,0,4,2,8,19,1,3,13,13,1,1,1,1,0,0,0,0,2,2,1,7,54,7,22,26,8,1,0,0,5,4,1,0,2,1,6,1,141,0,12,1,0,7,14,5,0,1,1,0,1,2,0,4,6,2,3,0,4,27,176,14,0,6,1,0,9,8,8,17,3,2,82,3,2,0,0,7,2,0,5,0,2,0,3,23,0,1,0,0,11,18,22,0,0,0,"HAMILTON"
"FEDERALIST.No..13",26,1,0,0,0,1,3,0,3,17,3,4,8,1,25,1,2,0,2,0,1,0,2,5,4,0,0,1,0,0,0,0,4,0,1,5,0,0,2,4,0,0,10,0,0,0,0,0,0,0,0,6,14,7,9,6,2,1,0,0,6,2,0,0,4,1,5,0,58,0,3,0,0,3,1,0,0,0,1,0,1,3,3,0,3,0,1,0,10,18,74,1,0,1,2,0,9,0,3,5,0,0,43,3,2,0,1,2,1,0,11,0,0,4,0,11,0,3,0,0,9,10,14,0,0,0,"HAMILTON"
"FEDERALIST.No..14",37,0,0,0,0,4,6,0,9,60,3,7,24,7,45,1,9,1,1,1,4,0,4,18,9,1,1,0,1,0,0,1,1,1,20,11,1,3,8,17,0,0,3,1,0,0,0,0,0,0,2,6,40,2,25,31,8,1,1,1,8,9,2,0,10,0,13,2,124,0,17,0,4,11,7,12,0,1,0,1,5,3,0,2,6,7,2,0,5,33,202,19,0,4,1,0,0,2,17,13,13,0,72,0,3,0,0,0,0,3,8,3,2,0,2,40,0,1,1,1,26,7,5,7,5,0,"MADISON"
"FEDERALIST.No..15",69,0,0,1,0,4,21,0,18,74,3,22,15,24,44,1,14,3,2,1,2,0,8,32,14,3,1,5,2,0,1,0,5,0,18,22,2,2,14,31,1,0,0,1,0,0,0,0,1,4,5,7,73,4,48,30,8,2,1,0,6,3,3,0,6,4,16,2,196,1,10,1,8,38,6,20,1,0,1,2,2,6,0,6,2,2,2,0,10,38,254,7,0,4,3,0,18,6,15,24,10,3,117,2,4,0,1,10,1,3,24,8,3,4,2,55,1,6,1,3,19,19,13,10,2,0,"HAMILTON"
