"","a","about","above","after","again","against","all","am","an","and","any","are","as","at","be","because","been","before","being","below","between","both","but","by","can","could","did","do","does","doing","down","during","each","few","for.","from","further","had","has","have","having","he","her","here","hers","herself","him","himself","his","how","i","if.","in.","into","is","it","its","itself","just","me","more","most","my","myself","no","nor","not","now","of","off","on","once","only","or","other","our","ours","ourselves","out","over","own","same","she","should","so","some","such","t","than","that","the","their","theirs","them","themselves","then","there","these","they","this","those","through","to","too","under","until","up","upon","very","was","we","were","what","when","where","which","while.","who","whom","why","will","with","would","you","your","yourselves","author"
"FEDERALIST.No..10",78,0,0,0,2,5,4,0,14,121,4,27,20,8,61,3,9,0,6,0,3,5,11,39,4,2,0,0,4,0,0,0,4,1,18,12,0,1,4,16,1,4,0,1,0,0,1,1,8,0,3,6,63,9,41,47,9,2,0,1,12,15,0,0,5,2,14,0,157,0,18,0,2,22,22,8,0,0,0,6,3,12,0,0,4,3,8,0,13,31,261,21,0,8,3,2,6,8,11,11,4,2,100,8,6,0,1,0,0,2,9,0,5,2,2,39,0,9,0,0,30,11,6,4,0,0,"MADISON"
"FEDERALIST.No..14",37,0,0,0,0,4,6,0,9,60,3,7,24,7,45,1,9,1,1,1,4,0,4,18,9,1,1,0,1,0,0,1,1,1,20,11,1,3,8,17,0,0,3,1,0,0,0,0,0,0,2,6,40,2,25,31,8,1,1,1,8,9,2,0,10,0,13,2,124,0,17,0,4,11,7,12,0,1,0,1,5,3,0,2,6,7,2,0,5,33,202,19,0,4,1,0,0,2,17,13,13,0,72,0,3,0,0,0,0,3,8,3,2,0,2,40,0,1,1,1,26,7,5,7,5,0,"MADISON"
"FEDERALIST.No..37",56,0,0,1,0,1,10,0,10,101,3,18,29,2,47,0,24,2,0,0,5,1,12,30,2,6,0,1,0,0,0,1,5,2,12,20,1,3,10,26,0,1,1,2,0,0,0,1,5,1,1,2,62,5,30,37,7,3,4,0,7,10,0,0,5,2,19,0,159,0,19,1,10,13,12,6,0,0,1,0,4,4,0,10,8,4,4,0,5,47,230,23,0,10,3,1,2,14,14,17,4,2,85,1,4,1,0,1,6,2,8,3,1,3,1,44,0,3,0,0,10,17,7,0,0,0,"MADISON"
"FEDERALIST.No..38",92,1,0,2,0,13,8,1,18,94,9,19,29,6,51,4,15,2,2,0,0,6,20,37,9,6,0,3,3,0,0,0,1,1,21,21,1,6,12,21,1,6,7,1,0,0,3,1,18,1,5,6,62,7,57,49,6,1,2,0,10,9,0,0,17,2,32,2,190,0,15,0,2,17,4,3,0,0,2,3,3,5,3,10,7,10,12,0,11,56,271,25,0,17,4,2,3,9,22,24,3,0,117,0,5,3,0,4,3,12,9,10,1,2,0,26,0,14,0,0,12,22,15,0,0,0,"MADISON"
"FEDERALIST.No..39",53,0,0,0,5,1,13,0,6,64,4,20,33,7,52,0,8,0,1,0,2,3,14,33,1,3,0,0,1,0,0,3,6,1,14,23,1,0,9,3,1,1,0,1,0,0,0,1,1,2,0,5,73,3,57,44,20,1,2,0,6,9,0,0,7,4,22,2,157,0,25,1,6,14,10,2,0,0,1,4,2,6,0,1,8,3,4,0,8,28,300,16,0,6,3,3,0,6,10,21,1,0,91,0,7,0,0,0,1,2,7,6,2,1,1,27,0,0,0,0,15,12,8,0,0,0,"MADISON"
"FEDERALIST.No..40",53,0,1,0,0,5,11,0,12,100,2,13,33,7,54,0,20,0,0,0,2,1,7,55,3,6,0,5,1,0,0,0,2,2,23,16,4,17,10,26,0,1,0,2,0,1,0,0,3,2,2,8,68,7,29,35,4,2,0,2,4,6,0,0,9,3,19,2,174,0,13,1,5,10,3,1,0,0,4,0,0,3,0,12,13,7,13,0,5,63,294,35,0,9,2,4,4,22,28,18,7,0,120,0,8,0,0,0,2,12,3,19,5,3,2,31,0,9,2,0,7,15,6,0,0,0,"MADISON"
"FEDERALIST.No..41",81,0,0,0,1,14,17,0,20,88,6,15,33,5,74,1,20,1,2,0,1,4,14,32,9,7,1,2,3,0,1,0,1,2,35,22,0,7,18,26,0,1,14,3,1,1,0,0,3,3,5,13,63,7,38,52,15,6,3,0,12,4,0,1,9,2,18,4,204,0,27,1,6,21,10,6,0,0,1,1,4,9,0,1,9,2,6,0,13,42,336,13,0,10,5,2,1,15,15,28,6,0,119,3,4,0,0,0,5,3,7,6,4,1,4,36,0,8,1,0,25,16,9,0,0,0,"MADISON"
"FEDERALIST.No..42",50,0,0,1,0,6,9,0,16,96,11,9,22,3,48,0,19,3,2,0,3,4,11,31,3,0,0,1,0,0,0,1,7,1,22,10,1,4,13,20,1,0,0,4,0,0,0,0,1,1,2,4,62,8,39,29,9,1,0,0,1,3,0,1,8,1,22,0,184,0,22,1,7,15,16,2,0,0,2,1,6,1,0,0,8,1,8,0,4,32,262,12,0,8,1,1,3,6,6,18,6,4,93,3,10,1,0,2,7,3,4,4,3,2,7,27,0,4,2,1,6,16,15,0,0,0,"MADISON"
"FEDERALIST.No..43",93,0,1,0,0,15,13,0,12,79,8,15,39,7,78,0,14,2,2,1,5,4,12,47,9,7,0,2,0,0,0,2,5,2,28,6,3,3,11,21,0,1,1,3,0,0,0,0,0,0,2,6,55,7,34,57,15,4,0,0,8,3,0,0,14,2,26,1,223,0,33,1,6,21,20,1,0,1,1,5,3,8,0,12,6,2,12,0,10,50,356,10,0,10,3,0,2,2,12,22,5,0,112,2,5,0,0,0,2,8,1,1,7,3,3,34,0,5,1,1,19,17,12,0,0,0,"MADISON"
"FEDERALIST.No..44",43,0,0,1,0,6,20,1,10,88,15,13,28,4,54,1,19,0,2,0,2,1,8,28,7,3,0,2,0,3,0,1,1,2,20,9,2,10,7,33,0,0,0,1,0,0,0,0,2,0,4,8,66,11,28,19,6,4,0,0,9,0,0,1,18,0,16,2,171,0,28,1,4,37,9,1,0,0,0,3,1,10,0,4,6,5,7,0,8,28,315,9,0,6,1,0,4,12,15,25,4,0,81,2,6,0,0,0,2,4,2,2,2,0,1,30,0,2,0,1,10,18,29,0,0,0,"MADISON"
