from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count
1.53081E+11,Donald J. Trump,"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world.",2016-10-02T22:08:03+0000,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157812529420725/?type=3,153080620724_10157812529420725,14561,828,1260
1.53081E+11,Donald J. Trump,Wondering if youâ€™re one of Hillary Clintonâ€™s #BasementDwellers or #Deplorables? EASY: #FollowTheMoney,2016-10-02T17:00:51+0000,link,https://medium.com/@TeamTrump_6959/how-to-find-out-if-youre-one-of-hillary-clinton-s-basementdwellers-or-deplorables-ac64826a35f0#.1iarfia27,153080620724_10157807293820725,14892,4456,2967
1.53081E+11,Donald J. Trump,"Together, we can stop the TPP and we can END the theft of American prosperity.",2016-10-02T14:00:46+0000,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157807281620725/?type=3,153080620724_10157807281620725,20312,2568,2568
1.53081E+11,Donald J. Trump,"Clinton & her cronies will say anything, do anything, lie about anything to enrich themselves & to keep their grip on power. #FollowTheMoney",2016-10-02T12:00:56+0000,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157807269325725/?type=3,153080620724_10157807269325725,29019,4777,4958
1.53081E+11,Donald J. Trump,"DID YOU KNOW?ALMOST HALF OF CLINTON FOUNDATION MEGA DONORS --- ARE BASED IN FOREIGN COUNTRIES!",2016-10-01T21:30:08+0000,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157802074945725/?type=3,153080620724_10157802074945725,21314,6360,11851
1.53081E+11,Donald J. Trump,"Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you.",2016-10-01T19:05:06+0000,link,http://www.politico.com/story/2016/09/hillary-clinton-bernie-sanders-supporters-audio-leak-228997,153080620724_10157805099190725,38449,7900,13113
1.53081E+11,Donald J. Trump,CROOKED HILLARY CLINTON - EMAIL COVER UP?,2016-10-01T17:00:16+0000,link,http://nypost.com/2016/09/28/the-fbis-hillary-email-probe-is-looking-even-more-like-a-coverup/,153080620724_10157801973530725,26522,5123,6690
1.53081E+11,Donald J. Trump,Trump: Clinton Would Put the Oval Office Up For Sale:,2016-10-01T15:00:09+0000,link,http://www.bloomberg.com/politics/videos/2016-09-29/donald-trump-clinton-would-put-the-oval-office-up-for-sale,153080620724_10157801979020725,28245,4737,3450
1.53081E+11,Donald J. Trump,"Hillary Clinton is an unreconstructed elitist who disdains her fellow Americans. She notoriously told Barbra Streisand and a room full of rich, giggling liberals: â€œYou could put half of Trumpâ€™s supporters into what I call the â€˜basket of deplorables.â€™â€ù",2016-10-01T13:00:25+0000,link,http://nypost.com/2016/09/30/sorry-hillary-clintons-the-one-whos-unfit-for-the-white-house/,153080620724_10157801463815725,48280,6914,9229
1.53081E+11,Donald J. Trump,What are they hiding?,2016-10-01T11:00:06+0000,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157801944315725/?type=3,153080620724_10157801944315725,49369,6802,34967
1.53081E+11,Donald J. Trump,UNBELIEVABLE MICHIGAN! I want to thank you for your support tonight -- the energy was absolutely incredible. If you all get out to vote on 11/8/2016 --- there is no question we will WIN MICHIGAN! I love this country - and I love you all. Thank you!,2016-10-01T00:45:49+0000,video,https://www.facebook.com/DonaldTrump/videos/10157800510715725/,153080620724_10157800510715725,43755,5432,4875
1.53081E+11,Donald J. Trump,"I believe in America First and that means FAMILY FIRST! My childcare plan reflects the needs of modern working-class families -- 100% deductible childcare expenses, paid maternity leave and dependent care savings. It's a great plan that will benefit ALL American families. My daughter Ivanka has done an incredible job -- so proud!",2016-09-30T22:47:14+0000,video,https://www.facebook.com/DonaldTrump/videos/10157799217780725/,153080620724_10157799217780725,62941,5156,15474
1.53081E+11,Donald J. Trump,"State of the race: 7 swing states, 7 paths to Trump victory:",2016-09-30T19:30:44+0000,link,http://www.washingtonexaminer.com/state-of-the-race-7-swing-states-7-paths-to-trump-victory/article/2603106,153080620724_10157795429570725,33611,4904,2216
1.53081E+11,Donald J. Trump,"'Donald Trump is ready to lead.'Gov. Mike Pence",2016-09-30T17:30:21+0000,link,http://www.usatoday.com/story/opinion/2016/09/29/mike-pence-donald-trump-editorials-debates/91295074/,153080620724_10157795485240725,33313,3685,2075
1.53081E+11,Donald J. Trump,"Crooked Hillary has put her own self-interest ahead of everyday Americans for 30 YEARS and she wonders why she isnâ€™t 50 points ahead -- Unbelievable! You canâ€™t lie about 33,000 emails, allow ISIS to spread, and call millions of hard-working Americans â€œdeplorables!â€ù I will bring BIG CHANGE on DAY ONE. #AmericaFirst! #NotHillary!",2016-09-30T17:20:03+0000,video,https://www.facebook.com/DonaldTrump/videos/10157797223855725/,153080620724_10157797223855725,47208,4585,18766
1.53081E+11,Donald J. Trump,I Was RFKâ€™s Speechwriter. Now Iâ€™m Voting for Trump. Hereâ€™s Why.,2016-09-30T16:30:31+0000,link,http://www.politico.com/magazine/story/2016/09/rfk-trump-2016-democratic-party-speechwriter-214270#ixzz4Ljp7QUg7,153080620724_10157795420675725,32091,2208,5524
1.53081E+11,Donald J. Trump,"Anytime you see a story about me or my campaign saying ""sources said,"" DO NOT believe it. There are no sources, they are just made up lies!",2016-09-30T15:30:06+0000,status,NA,153080620724_10157796311760725,71388,7207,6820
1.53081E+11,Donald J. Trump,The people are really smart in cancelling subscriptions to the Dallas & Arizona papers & now USA Today will lose readers! The people get it! #MakeAmericaGreatAgain!,2016-09-30T14:24:26+0000,status,NA,153080620724_10157796151450725,45505,4357,2252
1.53081E+11,Donald J. Trump,Why is it that all the things American people want- never seem to happen?,2016-09-30T13:00:56+0000,link,https://instagram.com/p/BK-i1RGjgO9/,153080620724_10157795417290725,21957,3429,2488
1.53081E+11,Donald J. Trump,"The special interests love Hillary Clinton because they have TOTAL control. Remember -- #FollowTheMoney! As president, I promise you, we will once again have a government of, by and for the PEOPLE! #TrumpIsWithYou",2016-09-30T10:48:15+0000,video,https://www.facebook.com/DonaldTrump/videos/10157785940860725/,153080620724_10157785940860725,30254,3180,7292
1.53081E+11,Donald J. Trump,"Many years ago, Congress established the United States Army. They have protected and preserved our freedoms from countless enemies. THANK YOU for your bravery, courage, and loyalty to America. #AmericaFirst!",2016-09-29T22:32:27+0000,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157785145215725/?type=3,153080620724_10157785145215725,41980,4875,7551
