id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2777721	10.2307/2777721	Social Bases of Independent Public Expression in Communist Societies	Jeffrey C. Goldfarb	American Journal of Sociology	83	4	1978-01-01T00:00:00Z	pp. 920-939	The University of Chicago Press	fla		Owing to official support of cultural traditions, the critical aspects of marxism, and the development of limited autonomy in cultural istitutions, independent public expression can and does develop in Communist societies despite the will of the political elite. In this paper, independent public expression is shown to be inherent in Communist societies; consequently, the relationship between politics and cultural life in these societies is considerably more complex than observers have posited.	
10.2307/2778934	10.2307/2778934	The Economics of Organization: The Transaction Cost Approach	Oliver E. Williamson	American Journal of Sociology	87	3	1981-11-01T00:00:00Z	pp. 548-577	The University of Chicago Press	fla		The transaction cost approach to the study of economic organization regards the transaction as the basic unit of analysis and holds that an understanding of transaction cost economizing is central to the study of organizations. Applications of this approach require that transactions be dimensionalized and that alternative governance structures be described. Economizing is accomplished by assigning transactions to governance structures in a discriminating way. The approach applies both to the determination of efficient boundaries, as between firms and markets, and to the organization of internal transactions, including the design of employment relations. The approach is compared and contrasted with selected parts of the organization theory literature.	
10.2307/2778891	10.2307/2778891	Regional Modes of Production and Patterns of State Formation in Western Europe	Michael Hechter, William Brustein	American Journal of Sociology	85	5	1980-03-01T00:00:00Z	pp. 1061-1094	The University of Chicago Press	fla		The rise of the modern territorial state in early modern western Europe was a spatially skewed process. An endogenous model of the uneven pattern of 16th-century state formation is presented. It holds that the geographical distribution of the first modern state structures was largely determined by preexisting regional differences of social and economic organization, differences emanating from the 12th century if not earlier. The model specifies that three distinct regional modes of production existed in 12th-century western Europe. These postulated forms of social organization are designated as the sedentary pastoral, petty commodity, and feudal modes of production. The optimal preconditions for the initial formation of modern states were to be found only in those regions dominated by the feudal mode  of production. The paper concludes with a discussion of some methodological and theoretical implications of these findings.	
10.2307/2778292	10.2307/2778292	Talcott Parsons, the Problem of Order in Society, and the Program of an Analytical Sociology	Thomas Burger	American Journal of Sociology	83	2	1977-09-01T00:00:00Z	pp. 320-339	The University of Chicago Press	fla		The persuasiveness of Parsons's solution to the Hobbesian problem of order rests on the conjunction of two premises, one substantivesociological, the other methodological. (1) Normative consensus may ensure order in a way which can be "generalized." (2) Sociology must be an "analytic" science. Both premises are criticized, the former because it is empirically false, the latter because in its Parsonian conception it would render sociology nonfalsifiable. It is further argued that Parsons, while contiuning to cling to his normative solution to the problem of order, eventually abandoned his early interpretation of the analytic status of sociology, and therewith deprived his solution to the Hobbesian problem of an essential prop. Finally, the whole Parsonian approach to social science is shown to issue from a metaphysical view of social reality as a composite of several spheres, each of them sui generis.	
10.2307/2780904	10.2307/2780904	Occupational Status-Assignment Systems: The Effect of Status on Self Esteem	William A. Faunce	American Journal of Sociology	95	2	1989-09-01T00:00:00Z	pp. 378-400	The University of Chicago Press	fla		It is commonly assumed that work necessarily affects self esteem, but the research evidence does not support this assumption. Instead, evidence suggests a wide variation in the relationship between occupational achievement and self assessment. This article proposes an explanation for this variation based on the postulate that the effects of the status on self esteem occur not simply as a result of knowledge of one's location in a status hierarchy but, more important, as a result of the frequency with which one is reminded of that location. If this postulate is correct, it becomes important to identify variables that call attention to occupational achievement. This article introduces the concept of the "status-assignment system" and discusses structural characteristics of such systems that produce reminders of status location.	
10.2307/2778258	10.2307/2778258	Remarriage as an Incomplete Institution	Andrew Cherlin	American Journal of Sociology	84	3	1978-11-01T00:00:00Z	pp. 634-650	The University of Chicago Press	fla		The higher divorce rate for remarriages after divorce than for first marriages, it is argued, is due to the incomplete institutionalization of remarriage after divorce in the United States. Persons who are remarried after a divorce and have children from previous marriages face problems unlike those encountered in first marriages. The institution of the family provides no standard solutions to many of these problems, with the result that the unity of families of remarriages after divorce often becomes precarious. The incomplete institutionalization of ramarriage shows us, by way of contrast, that family unity in first marriages is still supported by effective institutional controls, despite claims that the institutional nature of family life has eroded in the 20th century. Some suggestions for future research on remarriage and on the institutionalization of married life are presented.	
10.2307/2780240	10.2307/2780240	Introduction: Sociological and Economic Approaches to the Analysis of Social Structure	Christopher Winship, Sherwin Rosen	American Journal of Sociology	94		1988-01-01T00:00:00Z	pp. S1-S16	The University of Chicago Press	fla			
10.2307/2782677	10.2307/2782677	Leaps of Faith: Shifting Currents in Critical Sociology of Education	Scott Davies	American Journal of Sociology	100	6	1995-05-01T00:00:00Z	pp. 1448-1478	The University of Chicago Press	fla		The sociology of education is fraught with noncommunicating paradigms, particularly between "critical" and "mainstream" approaches. This article outlines and explains this paradigm split and the resulting shifts of critical theories from "reproduction" to "resistance" to "post-Marxist" versions, then explains how these approaches differ from the mainstream and what their internal dynamic is. The article argues that the "immanentism"-the practice of asserting a necessary movement of history that confers subordinate groups with objective interest in radical change-of critical approaches is the source of theoretical difference and that the trajectory of critical theories reflects shifting conceptions of how this change will occur.	
10.2307/2779297	10.2307/2779297	Socioeconomic Gains of Asian Americans, Blacks, and Hispanics: 1960-1976	Charles Hirschman, Morrison G. Wong	American Journal of Sociology	90	3	1984-11-01T00:00:00Z	pp. 584-607	The University of Chicago Press	fla		Based on the Census of the Population for 1960 and 1970 and the Survey of Income and Education in 1976, this study analyzes socioeconomic inequality between five minority populations (blacks, Hispanics, Japanese, Chinese, and Filipinos) and the majority population (white non-Hispanics) and the decomposes ethnic "gaps" into shares that are "explained" by age, nativity, residence, education, and other social background attributes. In general, Asian Americans approach socioeconomic parity with whites because of their overachievement in educational attainment. Over the past decade, there has been a marked decline in the direct negative effect of ethnicity on earnings (except among Chinese Americans). This suggests that the old-fashioned "open" discrimination by employers may be on the wane, but the remaining ethnic inequality, rooted in differential access to institutional settings, may be more persistent.	
10.2307/2778459	10.2307/2778459	Unemployment Over the Life Cycle: Racial Differences and the Effect of Changing Economic Conditions	Thomas A. DiPrete	American Journal of Sociology	87	2	1981-09-01T00:00:00Z	pp. 286-307	The University of Chicago Press	fla		An analysis of the unemployment experience of white and nonwhite male heads of household was conducted using methods of partial likelihood. The results show job tenure to be the most important determinant of unemployment experience but point to the complications involved in interpreting its effects when the sample studied has mixed levels of age and job quality. Nonwhites differ in unemployment experience from whites mostly at low tenure levels, but they tend to be more sensitive to recessions at higher levels of tenure as well.	
