id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2095476	10.2307/2095476	Beliefs about Inequality and Perceptions of Distributive Justice	Norma J. Shepelak, Duane F. Alwin	American Sociological Review	51	1	1986-02-01T00:00:00Z	pp. 30-46	American Sociological Association	fla		This paper addresses a number of theoretical and empirical issues derived from distributive justice theory regarding the social psychological process of justice evaluation. Building upon current theory and research, justice evaluation is conceived as a comparison of the rewards one receives with rewards s/he expects. Using data from a 1979 Indianapolis area survey, we examine beliefs about inequality and their role in subjective perceptions of distributive justice. We examine the extent to which  what is  affects perceptions of  what ought to be  using collective beliefs about distribution practices, that is, the extent to which persons perceive departures from justice in terms of existential standards. We find that it is possible to abstract, with a high degree of distinctiveness, a set of aggregate principles representing existential notions about the ways in which individual characteristics are related to household income. We find that this approach to the measurement of reference standards for the evaluation of income receipts has some empirical validity, in that it predicts perceptions of over- vs. under-reward, but such an approach to measuring departures from justice does not produce meaningful variation in measures of satisfaction and acceptance of income.	
10.2307/2095905	10.2307/2095905	Poverty, Parenting, and Children's Mental Health	Jane D. McLeod, Michael J. Shanahan	American Sociological Review	58	3	1993-06-01T00:00:00Z	pp. 351-366	American Sociological Association	fla		Poor children experience greater psychological distress than do nonpoor children. However, evidence for the relationship between poverty and children's distress is limited by the use of measures of poverty at a single point in time, by a failure to examine race or ethnic differences, and by a lack of concern with explanations for poverty's effects. Using data from the 1986 Children of the National Longitudinal Survey of Youth (NLSY) data set, we explored the relationships among current poverty, length of time spent in poverty, maternal parenting behaviors, and children's mental health. Persistent poverty significantly predicts children's internalizing symptoms above and beyond the effect of current poverty, whereas only current poverty predicts externalizing symptoms. Mother's weak emotional responsiveness and frequent use of physical punishment explain the effect of current poverty on mental health, but not the effect of persistent poverty. The relationships among poverty, parenting behaviors, and children's mental health do not vary by race/ethnicity. These findings support theoretical developments calling for greater emphasis on family processes in studies of children's poverty. They also argue for greater attention to trajectories of socioeconomic status in analyses of the effects of status on mental health.	
10.2307/2095809	10.2307/2095809	Local Industrial Dominance and Earnings Attainment	Scott J. South, Weiman Xu	American Sociological Review	55	4	1990-08-01T00:00:00Z	pp. 591-599	American Sociological Association	fla		Drawing on the ecological concept of local industrial dominance, we examine how the industrial distribution of the metropolitan labor force influences workers' earnings. Industrial dominance is defined as the proportional overrepresentation of the local labor force in a given industry or industrial sector. A contextual analysis of census microdata for the largest 125 SMSAs shows that, within industries and sectors, workers in metropolitan areas in which their industry is dominant have significantly higher earnings than workers in areas in which that industry is less dominant. These results hold for two different measures of dominance and four race/sex groups. The effects of local dominance on earnings appear stronger for industries in the core and state sectors, for financial, business and personal service functions, and for public administration. The influence of dominance is partly explained by the tendency of locally dominant industries to be composed of larger establishments.	
10.2307/2095441	10.2307/2095441	Two Models of Welfare State Development: Reply to Skocpol and Amenta	Jill Quadagno	American Sociological Review	50	4	1985-08-01T00:00:00Z	pp. 575-578	American Sociological Association	fla			
10.2307/2096288	10.2307/2096288	The Friendly and Predatory Acquisition of Large U.S. Corporations in the 1960s: The Other Contested Terrain	Donald Palmer, Brad M. Barber, Xueguang Zhou, Yasemin Soysal	American Sociological Review	60	4	1995-08-01T00:00:00Z	pp. 469-499	American Sociological Association	fla		The 1960s represent an important chapter in U.S. business history, partly because they ushered in a new tactic of corporate combination--the predatory takeover. Predatory takeovers not only facilitate the restructuring of corporate enterprises, they also alter the internal structure of the business elite. We explore the factors that led large corporations to be acquired through friendly and predatory means in the 1960s. Consistent with the  embeddedness  perspective, our results indicate that the likelihood of acquisition during this period was influenced by a firm's position in the resource-dependence network of the economy as well as the positions of its managers and directors in the firm's ownership structure and in the social network of the business elite. Specifically, firms run by central managers and directors were less susceptible to predatory takeover--ownership relationships dominated over ties among the business elite. However, consistent with traditional economic accounts, our results suggest that in the 1960s undervaluation of a firm's assets, the ratio of its stock price to earnings, its performance, and its size also influenced the likelihood of acquisition.	
10.2307/2095310	10.2307/2095310	Further Evidence on Sibship Size and Educational Stratification	Robert D. Mare, Meichu D. Chen	American Sociological Review	51	3	1986-06-01T00:00:00Z	pp. 403-412	American Sociological Association	fla		A recent article reports that the effects of father's schooling on son's schooling are much larger for men raised in large sibships than for those from small sibships, and that men from small sibships, unlike their counterparts in large sibships, have enjoyed increased educational mobility during the twentieth century. This article shows these results to be artifactual. The effects of father's schooling and sibship size are mainly additive and invariant over cohorts. Apparent interactions between father's schooling and sibship size result from differences in mean educational attainment among sibship size groups rather than from any important differences in the association between father's and son's schooling. The censored regression (Tobit) model, which takes account of ceiling and floor effects on educational attainment, is a useful tool for investigating the effects of socioeconomic background on grades of school completed within the elementary, secondary, and post-secondary parts of the educational career.	
10.2307/2095390	10.2307/2095390	Structural Determinants of Third World Urban Change: An Ecological and Political Economic Analysis	Bruce London	American Sociological Review	52	1	1987-02-01T00:00:00Z	pp. 28-43	American Sociological Association	fla		Quantitative, cross-national studies of peripheral urbanization have been rooted in human ecology or political economy. Studies in the human ecology tradition cite rural adversity as a major determinant of Third World urban growth. Studies in the political economy mode emphasize economic dependency. This paper (a) argues that no quantitative analysis of Third World urbanization can be complete if it fails to incorporate determinants suggested by one or the other theory and (b) conducts such a  complete  quantitative, cross-national analysis, which examines simultaneously both rural adversity and dependency as predictors of urban change. Findings suggest that both factors are important.	
10.2307/2096215	10.2307/2096215	Typologies, Scales, and Class Analysis: A Comment on Halaby and Weakliem's  Ownership and Authority in the Earnings Function 	Erik Olin Wright	American Sociological Review	58	1	1993-02-01T00:00:00Z	pp. 31-34	American Sociological Association	fla			
10.2307/2095919	10.2307/2095919	Migration and the Earnings of Hispanic Men	Marta Tienda, Franklin D. Wilson	American Sociological Review	57	5	1992-10-01T00:00:00Z	pp. 661-678	American Sociological Association	fla		We investigate the relationship between geographic mobility and the earnings of Hispanic men and white men using the 1980 Public Use Sample. Migration status and labor force participation status are treated as joint selection processes and are incorporated into the earnings models. Despite the distinctive social and residential profiles of Mexican, Puerto Rican, and Cuban men, results show that residence in a concentrated ethnic area deters migration for all groups, even though they experience modest earnings penalties. Residence in a concentrated ethnic area is not related to labor force participation. The earnings returns to migration are negligible, at least over the short term. Because much research on the Hispanic population has documented differences according to national origin, it is noteworthy that our finding shows similar effects of residence in concentrated ethnic areas on migration probabilities and only trivial effects of migration on earnings for all groups. However, consistent with prior research on economic inequality, the effects of residence in an area of ethnic concentration and area wage rates on earnings differed among Mexicans, Puerto Ricans, and Cubans.	
10.2307/2096303	10.2307/2096303	A Shortage of Marriageable Men? A Note on the Role of Cohabitation in Black-White Differences in Marriage Rates	R. Kelly Raley	American Sociological Review	61	6	1996-12-01T00:00:00Z	pp. 973-983	American Sociological Association	fla		Using the National Survey of Families and Households, I explore the role of cohabitation in differences between Blacks and Whites in union formation. Previous research has explained at most one-quarter of racial differences in marriage rates. Despite this and a well-documented rise in premarital cohabitation among both races, no previous research has explored racial differences in union formation. I begin by showing that the Black-White difference in the timing of first union (that is, first cohabitation or first marriage) is about one-half the Black-White difference in the timing of first marriage. Then I use proportional hazard models to determine whether racial differences in first union formation rates and first union type can be attributed to the availability of men or to men's employment characteristics. The results provide clear evidence that marriage market characteristics contribute to the lower likelihood that Black women will cohabit or will marry. However, Black-White differences in union type (that is, the greater tendency among Blacks to cohabit rather than to marry) are not related to differences in the availability of employed men.	
10.2307/2096315	10.2307/2096315	Interdependence and Reintegrative Social Control: Labeling and Reforming  Inappropriate  Parents in Neonatal Intensive Care Units	Carol A. Heimer, Lisa R. Staffen	American Sociological Review	60	5	1995-10-01T00:00:00Z	pp. 635-654	American Sociological Association	fla		Labeling theorists have argued that members of disadvantaged groups are disproportionately likely to be labeled negatively, but we find that in some situations members of disadvantaged groups may, in fact, be less likely than others to be labeled for the same actions. In neonatal intensive care units (NICUs), we argue, the process of sorting and evaluating parents of NICU patients varies with the gender, age, and race of the parents and depends on what those characteristics are taken to mean in the context of the organization. We find that social control in the NICU tends to be reintegrative rather than disintegrative. Because NICUs cannot control their organizational borders and because of the fundamental interdependence between medical careproviders and parents, parents must be reformed rather than excluded. We conclude that when substantial resources must be expended to correct deviant behavior, an organization will be more reluctant to label anyone as deviant, and that when a group is dependent on the participation of deviant members, the group will make considerable effort to rehabilitate them.	
