KEYTERMS,WEIGHT
mldr,2.0
masculinity,1.91975045
rsquo,1.82493234
rdquo,1.74986523
ldquo,1.749516
emsp,1.71619374
masculine,1.582203
men,1.56937605
overcompensation,1.4345378
threat,1.39950863
gender,1.36561665
identity,1.35442054
men_rsquo,1.34655902
woman,1.29768676
attitude,1.29374415
dominance,1.2898435
men_woman,1.28447163
participant,1.2805133
feedback,1.2608887
testosterone,1.25644428
threatened,1.25294545
homosexuality,1.2349613
iraq_war,1.22887917
study,1.20881124
threatened_men,1.19414602
