WORDCOUNTS,WEIGHT
the,1219
of,640
and,515
to,364
in,350
a,237
that,191
as,140
elites,130
with,126
we,125
political,124
is,121
actors,117
masses,115
this,112
for,105
model,101
ethnic,95
exchange,95
alliance,88
an,87
central,84
state,83
from,80
on,79
by,78
elite,78
are,76
between,76
which,73
peripheral,71
or,65
nation,64
more,64
they,61
their,60
other,59
building,59
these,58
can,57
over,57
closure,55
populism,54
system,53
control,53
cultural,52
thus,51
pe,51
not,51
scenario,50
be,50
it,48
ce,48
our,47
resources,45
pm,44
cm,44
under,43
empire,43
public,42
will,42
weak,41
strong,41
support,40
when,40
society,39
m,38
civil,38
goods,38
historical,38
military,37
see,37
systems,36
at,35
all,35
s,35
such,35
empirical,34
centralization,34
one,33
ottoman,33
also,33
who,33
each,32
states,32
only,31
equilibrium,31
have,31
has,30
order,30
two,30
power,30
distribution,29
preferences,29
different,29
first,28
mass,28
interest,28
how,27
population,27
mobilization,27
would,27
into,26
alliances,26
well,26
data,26
but,26
them,26
no,25
because,25
less,25
france,25
centralized,24
resource,24
identity,24
if,23
second,23
taxation,23
populist,23
both,23
than,22
traits,22
results,22
do,22
possible,21
however,21
therefore,21
actor,21
na,20
preference,20
about,20
modernization,20
identities,20
against,19
while,19
most,18
organizations,18
three,18
analysis,18
national,18
estate,17
nationalism,17
rather,17
process,17
was,17
various,17
were,17
encompassing,17
through,17
now,16
those,16
along,16
had,16
part,15
mechanisms,15
new,15
forms,15
relative,15
then,15
prefer,14
provision,14
interests,14
its,14
likely,14
same,14
french,14
decision,14
trait,14
following,14
outcome,14
making,14
formation,14
differentiation,14
similarity,14
group,13
i,13
result,13
could,13
rule,13
literature,13
assumptions,13
others,13
distributions,13
figure,13
lines,13
table,13
what,13
themselves,13
e,12
point,12
premodern,12
societies,12
further,12
correspondence,12
wimmer,12
competition,12
cepe,12
many,12
conditions,12
third,12
groups,11
either,11
since,11
price,11
century,11
strategic,11
longer,11
proposal,11
where,11
formal,11
high,11
after,11
outcomes,11
propose,11
scenarios,11
offer,11
given,11
interaction,11
focus,11
might,10
some,10
development,10
fig,10
even,10
care,10
based,10
line,10
gains,10
boundaries,10
weakly,10
become,10
here,10
popular,10
difference,10
struggle,9
represent,9
utility,9
modern,9
politics,9
empires,9
turn,9
latin,9
lead,9
emerge,9
participation,9
comparative,9
tilly,9
social,9
choice,9
assumption,9
assume,9
why,9
article,9
division,9
christian,9
becomes,9
class,9
according,9
whether,9
form,9
her,9
models,9
modeling,9
identify,8
leads,8
attractive,8
able,8
ally,8
find,8
developed,8
developments,8
certain,8
established,8
show,8
dominant,8
cepecmpm,8
whom,8
